Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,51.599998,51.700001,51.400002,51.700001,51.700001,18921690
2019-11-04,51.799999,52.099998,51.799999,52.099998,52.099998,4417527
2019-11-05,52.099998,52.200001,52.000000,52.000000,52.000000,3223216
2019-11-06,52.000000,52.099998,52.000000,52.000000,52.000000,966071
2019-11-07,52.000000,52.200001,52.000000,52.099998,52.099998,1586774
2019-11-08,52.099998,52.299999,52.099998,52.299999,52.299999,1339274
2019-11-11,52.299999,52.299999,52.099998,52.200001,52.200001,1174236
2019-11-12,52.200001,52.200001,52.200001,52.200001,52.200001,0
2019-11-13,52.200001,52.299999,52.099998,52.099998,52.099998,3267853
2019-11-14,52.200001,52.200001,52.099998,52.200001,52.200001,1153990
2019-11-15,52.200001,52.299999,52.099998,52.200001,52.200001,1026172
2019-11-18,52.200001,52.299999,52.099998,52.200001,52.200001,596337
2019-11-19,52.200001,52.299999,52.099998,52.200001,52.200001,1249907
2019-11-20,52.200001,52.200001,52.099998,52.099998,52.099998,584524
2019-11-21,52.200001,52.200001,52.099998,52.200001,52.200001,558503
2019-11-22,52.200001,52.200001,52.099998,52.200001,52.200001,583300
2019-11-25,52.099998,52.200001,52.099998,52.099998,52.099998,473745
2019-11-26,52.099998,52.099998,51.599998,51.900002,51.900002,795225
2019-11-27,51.900002,51.900002,51.700001,51.799999,51.799999,592637
2019-11-28,51.799999,51.900002,51.700001,51.799999,51.799999,899396
2019-11-29,51.799999,51.900002,51.700001,51.799999,51.799999,1004922
2019-12-02,51.799999,51.900002,51.799999,51.900002,51.900002,257069
2019-12-03,51.900002,52.000000,51.799999,51.900002,51.900002,410587
2019-12-04,51.900002,52.000000,51.799999,52.000000,52.000000,589500
2019-12-05,52.000000,52.000000,51.900002,51.900002,51.900002,111905
2019-12-06,51.900002,51.900002,51.799999,51.900002,51.900002,63500
2019-12-09,51.900002,51.900002,51.700001,51.700001,51.700001,750478
2019-12-10,51.700001,51.700001,51.500000,51.700001,51.700001,1281440
2019-12-11,51.599998,51.700001,51.500000,51.599998,51.599998,400247
2019-12-12,51.599998,51.700001,51.500000,51.599998,51.599998,672475
2019-12-13,51.599998,51.700001,51.500000,51.500000,51.500000,576388
2019-12-16,51.500000,51.799999,51.500000,51.599998,51.599998,3678
2019-12-17,51.700001,51.700001,51.599998,51.599998,51.599998,324253
2019-12-18,51.599998,51.799999,51.599998,51.799999,51.799999,294394
2019-12-19,51.700001,51.799999,51.700001,51.700001,51.700001,103368
2019-12-20,51.700001,51.799999,51.700001,51.700001,51.700001,228470
2019-12-23,51.700001,51.799999,51.700001,51.700001,51.700001,251280
2019-12-24,51.799999,51.799999,51.700001,51.700001,51.700001,348048
2019-12-25,51.700001,51.799999,51.700001,51.700001,51.700001,249890
2019-12-26,51.700001,51.799999,51.700001,51.799999,51.799999,651468
2019-12-27,51.799999,51.799999,51.700001,51.700001,51.700001,150045
2019-12-30,51.700001,51.900002,51.700001,51.799999,51.799999,170290
2019-12-31,51.799999,51.799999,51.700001,51.700001,51.700001,154816
2020-01-02,51.700001,51.799999,51.700001,51.700001,51.700001,1163164
2020-01-03,51.799999,51.799999,51.700001,51.700001,51.700001,213336
2020-01-06,51.700001,51.799999,51.700001,51.700001,51.700001,191476
2020-01-07,51.700001,51.799999,51.700001,51.700001,51.700001,80830
2020-01-08,51.700001,51.700001,51.599998,51.700001,51.700001,219062
2020-01-09,51.700001,51.799999,51.700001,51.700001,51.700001,228753
2020-01-10,51.700001,51.700001,51.700001,51.700001,51.700001,175833
2020-01-13,51.700001,51.700001,51.700001,51.700001,51.700001,111359
2020-01-14,51.700001,51.799999,51.700001,51.700001,51.700001,137884
2020-01-15,51.700001,51.799999,51.700001,51.799999,51.799999,286240
2020-01-16,51.799999,51.799999,51.700001,51.700001,51.700001,74729
2020-01-17,51.799999,51.900002,51.799999,51.900002,51.900002,152891
2020-01-20,51.900002,51.900002,51.799999,51.900002,51.900002,43523
2020-01-30,51.700001,51.700001,51.500000,51.700001,51.700001,1177661
2020-01-31,51.700001,51.799999,51.700001,51.799999,51.799999,795888
2020-02-03,51.700001,51.799999,51.700001,51.799999,51.799999,131281
2020-02-04,51.500000,51.900002,51.500000,51.900002,51.900002,170358
2020-02-05,51.799999,51.900002,51.799999,51.900002,51.900002,313500
2020-02-06,51.900002,51.900002,51.900002,51.900002,51.900002,142553
2020-02-07,51.900002,52.000000,51.900002,52.000000,52.000000,109300
2020-02-10,52.000000,52.000000,51.900002,51.900002,51.900002,314013
2020-02-11,51.900002,52.099998,51.900002,52.000000,52.000000,367077
2020-02-12,52.000000,52.099998,52.000000,52.000000,52.000000,425000
2020-02-13,52.000000,52.099998,52.000000,52.000000,52.000000,415906
2020-02-14,52.000000,52.099998,52.000000,52.099998,52.099998,238210
2020-02-17,52.099998,52.200001,52.099998,52.099998,52.099998,67518
2020-02-18,52.099998,52.200001,52.099998,52.200001,52.200001,155999
2020-02-19,52.200001,52.299999,52.099998,52.200001,52.200001,106455
2020-02-20,52.200001,52.299999,52.099998,52.200001,52.200001,55048
2020-02-21,52.200001,52.200001,52.099998,52.200001,52.200001,38762
2020-02-24,52.099998,52.200001,52.099998,52.200001,52.200001,139397
2020-02-25,52.000000,52.200001,52.000000,52.099998,52.099998,574876
2020-02-26,52.000000,52.099998,51.900002,51.900002,51.900002,524485
2020-02-27,51.900002,52.000000,51.900002,52.000000,52.000000,100828
