Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6.650520,6.694860,6.384500,6.561850,4.440159,6101023
2000-01-05,6.384500,6.473180,6.207160,6.428840,4.350156,4706087
2000-01-06,6.384500,6.606190,6.340170,6.561850,4.440159,6326095
2000-01-07,6.606190,7.005220,6.606190,7.005220,4.740170,13028784
2000-01-10,7.492930,7.492930,7.359910,7.492930,5.070185,14934536
2000-01-11,7.537260,7.847620,7.359910,7.803280,5.280188,12563043
2000-01-12,7.803280,8.335320,7.670270,8.335320,5.640199,9486335
2000-01-13,8.335320,8.867370,8.335320,8.778690,5.940212,14397308
2000-01-14,8.246650,8.645680,8.202310,8.557010,5.790207,7923052
2000-01-17,8.246650,9.266400,8.246650,9.266400,6.270226,10307458
2000-01-18,9.310730,9.754100,9.044710,9.488080,6.420230,8800787
2000-01-19,9.310730,9.488080,8.867370,9.488080,6.420230,7902392
2000-01-20,10.108800,10.108800,9.000380,9.665430,6.540234,15423385
2000-01-21,9.576750,9.754100,9.310730,9.754100,6.600234,4300386
2000-01-24,9.310730,9.576750,9.222060,9.576750,6.480229,6960872
2000-01-25,9.310730,9.754100,9.310730,9.576750,6.480229,4935987
2000-01-26,9.665430,9.709770,9.310730,9.576750,6.480229,4975040
2000-01-27,9.576750,9.576750,9.089050,9.089050,6.150221,3193462
2000-01-28,8.956040,8.956040,8.690020,8.690020,5.880210,1180148
2000-01-31,8.512670,9.089050,8.512670,9.089050,6.150221,3405746
2000-02-01,9.576750,9.576750,9.222060,9.532420,6.450233,3012022
2000-02-02,9.532420,9.532420,9.532420,9.532420,6.450233,0
2000-02-03,9.532420,9.532420,9.532420,9.532420,6.450233,0
2000-02-04,9.532420,9.532420,9.532420,9.532420,6.450233,0
2000-02-07,9.532420,9.532420,9.532420,9.532420,6.450233,0
2000-02-08,9.532420,9.532420,9.532420,9.532420,6.450233,0
2000-02-09,9.754100,9.975790,9.621090,9.754100,6.600234,3868116
2000-02-10,9.754100,9.842780,9.089050,9.842780,6.660241,4623515
2000-02-11,9.842780,9.887110,9.399410,9.842780,6.660241,3531759
2000-02-14,10.108800,10.507800,10.108800,10.507800,7.110235,10667091
2000-02-15,10.463500,11.172900,10.286100,11.172900,7.560283,11037731
2000-02-16,11.172900,11.882300,11.128500,11.837900,8.010265,6531477
2000-02-17,12.059600,12.636000,12.015300,12.636000,8.550308,7654618
2000-02-18,12.857700,12.857700,12.237000,12.724700,8.610330,5156762
2000-02-21,14.010400,14.453800,13.655700,14.453800,9.780346,10375122
2000-02-22,14.453800,15.429200,13.478400,15.340500,10.380342,13570219
2000-02-23,16.227301,16.404600,15.429200,16.404600,11.100378,6316464
2000-02-24,16.848000,16.936701,15.340500,15.340500,10.380342,9002482
2000-02-25,14.542500,15.251900,14.365100,14.542500,9.840366,6093613
2000-02-28,14.542500,14.542500,14.542500,14.542500,9.840366,0
2000-02-29,14.542500,14.542500,13.744400,13.833100,9.360343,2180208
2000-03-01,13.744400,14.365100,13.744400,14.099100,9.540332,5334166
2000-03-02,14.365100,14.365100,13.567100,14.365100,9.720326,3040587
2000-03-03,14.276500,15.074500,14.187800,15.074500,10.200352,5661208
2000-03-06,16.848000,17.114000,16.316000,17.114000,11.580401,6653611
2000-03-07,17.291401,17.734699,15.961300,16.404600,11.100378,11178765
2000-03-08,15.429200,17.468700,15.429200,17.468700,11.820418,6485827
2000-03-09,17.291401,17.646099,16.759300,17.379999,11.760395,9709896
2000-03-10,17.291401,17.557400,16.227301,16.227301,10.980408,7161202
2000-03-13,15.163200,15.163200,15.163200,15.163200,10.260369,1047662
2000-03-14,14.187800,14.187800,14.187800,14.187800,9.600354,1533781
2000-03-15,13.212400,14.453800,13.212400,13.212400,8.940337,6958120
2000-03-16,12.325600,13.212400,12.325600,13.212400,8.940337,6484462
2000-03-17,12.946400,13.567100,12.414300,13.212400,8.940337,3327166
2000-03-20,12.769000,12.769000,12.769000,12.769000,8.640304,439815
2000-03-21,12.325600,13.655700,12.325600,13.655700,9.240300,2469730
2000-03-22,14.542500,14.542500,14.542500,14.542500,9.840366,2605170
2000-03-23,15.517900,15.517900,15.517900,15.517900,10.500382,725368
2000-03-24,16.582001,16.582001,15.872600,16.582001,11.220418,9002549
2000-03-27,17.291401,17.646099,16.049900,17.646099,11.940456,7556934
2000-03-28,17.646099,17.646099,16.493299,17.114000,11.580401,3371576
2000-03-29,16.848000,18.266800,16.404600,18.266800,12.360459,14874767
