Date,Open,High,Low,Close,Adj Close,Volume
2000-01-20,2.485550,2.485550,2.485550,2.485550,1.367265,10098
2000-01-21,2.653890,2.653890,2.653890,2.653890,1.459867,10098
2000-01-24,2.832140,2.832140,2.832140,2.832140,1.557920,50492
2000-01-25,3.030190,3.030190,3.030190,3.030190,1.666864,292853
2000-01-26,3.238150,3.238150,3.238150,3.238150,1.781260,706886
2000-01-27,3.456000,3.456000,3.456000,3.456000,1.901096,525116
2000-01-28,3.693660,3.693660,3.693660,3.693660,2.031829,18017744
2000-01-31,3.862010,4.020450,3.663960,4.020450,2.211592,12824937
2000-02-01,4.159090,4.297720,4.119470,4.297720,2.364114,11680246
2000-02-02,4.297720,4.297720,4.297720,4.297720,2.364114,0
2000-02-03,4.297720,4.297720,4.297720,4.297720,2.364114,0
2000-02-04,4.297720,4.297720,4.297720,4.297720,2.364114,0
2000-02-07,4.297720,4.297720,4.297720,4.297720,2.364114,0
2000-02-08,4.297720,4.297720,4.297720,4.297720,2.364114,0
2000-02-09,4.555190,4.574990,4.386840,4.555190,2.505744,11623231
2000-02-10,4.426450,4.555190,4.297720,4.555190,2.505744,9153087
2000-02-11,4.555190,4.753240,4.505680,4.713630,2.592900,10613696
2000-02-14,4.703730,4.802750,4.436360,4.436360,2.440378,8666547
2000-02-15,4.357140,4.456160,4.129380,4.188790,2.304193,8136524
2000-02-16,4.129380,4.456160,4.129380,4.456160,2.451269,4766534
2000-02-17,4.584900,4.634410,4.258110,4.426450,2.434926,5928979
2000-02-18,4.456160,4.505680,4.208600,4.258110,2.342325,3645514
2000-02-21,4.248210,4.258110,4.129380,4.129380,2.271513,3120398
2000-02-22,3.852110,4.060060,3.842200,3.842200,2.113539,3948576
2000-02-23,3.762980,4.069960,3.762980,4.000640,2.200695,4343574
2000-02-24,4.040250,4.149180,3.862010,4.000640,2.200695,3615320
2000-02-25,4.000640,4.010540,3.733270,3.862010,2.124436,2735418
2000-02-28,3.862010,3.862010,3.862010,3.862010,2.124436,0
2000-02-29,3.881810,3.921420,3.743180,3.832300,2.108093,2009577
2000-03-01,3.832300,3.980840,3.832300,3.980840,2.189803,2635676
2000-03-02,4.060060,4.119470,3.980840,4.010540,2.206140,3191087
2000-03-03,4.069960,4.287820,4.060060,4.287820,2.358669,8805794
2000-03-06,4.357140,4.654210,4.159090,4.654210,2.560214,25811449
2000-03-07,4.951290,4.951290,4.713630,4.951290,2.723634,53970588
2000-03-08,5.050320,5.297880,5.050320,5.297880,2.914288,19184339
2000-03-09,5.644470,5.644470,5.644470,5.644470,3.104942,2080175
2000-03-10,5.991060,5.991060,5.991060,5.991060,3.295596,2785617
2000-03-13,6.387170,6.387170,5.594960,5.594960,3.077707,13052403
2000-03-14,5.248370,5.545450,5.248370,5.248370,2.887053,6513543
2000-03-15,4.881970,5.149340,4.881970,4.881970,2.685502,10755134
2000-03-16,4.545290,4.545290,4.545290,4.545290,2.500299,1780031
2000-03-17,4.238310,4.456160,4.228400,4.228400,2.325982,7230437
2000-03-20,4.089770,4.089770,4.089770,4.089770,2.249723,111082
2000-03-21,3.951130,4.367040,3.951130,4.367040,2.402246,8028249
2000-03-22,4.386840,4.664120,4.386840,4.664120,2.565665,14470973
2000-03-23,4.842360,4.951290,4.802750,4.951290,2.723634,7028470
2000-03-24,4.951290,4.951290,4.782950,4.782950,2.631032,7472798
2000-03-27,4.773040,5.099830,4.773040,5.099830,2.805343,5394260
2000-03-28,5.446420,5.446420,5.000800,5.198860,2.859818,22913215
2000-03-29,4.951290,5.149340,4.951290,5.000800,2.750868,11476016
2000-03-30,5.050320,5.347390,5.000800,5.347390,2.941522,7856839
2000-03-31,5.396910,5.545450,5.198860,5.396910,2.968762,12974838
2000-04-03,5.396910,5.396910,5.396910,5.396910,2.968762,0
2000-04-04,5.396910,5.396910,5.396910,5.396910,2.968762,0
2000-04-05,5.842520,5.842520,5.842520,5.842520,3.213886,4958303
2000-04-06,6.238630,6.238630,6.238630,6.238630,3.431781,2986231
2000-04-07,6.634730,6.634730,6.634730,6.634730,3.649669,4821500
2000-04-10,7.426940,7.575480,7.228890,7.575480,4.167163,12219035
2000-04-11,7.575480,7.971580,7.080350,7.080350,3.894798,15602243
2000-04-12,6.931810,7.278400,6.585220,6.634730,3.649669,10192493
2000-04-13,6.436680,7.080350,6.288140,7.080350,3.894798,14999713
2000-04-14,6.882300,7.575480,6.783270,7.030830,3.867558,12078082
2000-04-17,7.179370,7.179370,6.931810,7.179370,3.949269,7624274
2000-04-18,7.674500,7.674500,6.684240,6.832780,3.758614,20606625
2000-04-19,6.436680,6.733760,6.387170,6.387170,3.513491,8028209
2000-04-20,5.941550,5.941550,5.941550,5.941550,3.268362,2150954
2000-04-21,5.545450,6.238630,5.545450,5.941550,3.268362,9068362
2000-04-24,5.545450,5.941550,5.545450,5.545450,3.050472,3090103
2000-04-25,5.198860,5.396910,5.198860,5.297880,2.914288,6332833
2000-04-26,5.248370,5.495930,4.931490,4.931490,2.712741,4786630
2000-04-27,4.654210,4.931490,4.594800,4.594800,2.527533,2909413
2000-04-28,4.466060,4.911680,4.277920,4.911680,2.701845,7029096
2000-05-01,4.911680,4.911680,4.911680,4.911680,2.701845,0
2000-05-02,4.802750,4.802750,4.515580,4.515580,2.483955,2847742
2000-05-03,4.218500,4.347230,4.208600,4.208600,2.315090,1940171
2000-05-04,4.159090,4.357140,3.970940,3.970940,2.184357,2625578
2000-05-05,3.980840,4.248210,3.980840,4.248210,2.336879,2948726
2000-05-08,4.743340,4.852270,4.555190,4.654210,2.560214,6281190
2000-05-09,4.654210,4.654210,4.654210,4.654210,2.560214,0
2000-05-10,4.386840,4.703730,4.307620,4.644310,2.554768,3211284
2000-05-11,4.485870,4.535380,4.357140,4.456160,2.451269,3059808
2000-05-12,4.594800,4.594800,4.376940,4.386840,2.413138,3453645
2000-05-15,4.386840,4.555190,4.386840,4.456160,2.451269,1393576
2000-05-16,4.525480,4.535380,4.367040,4.475970,2.462167,2292331
2000-05-17,4.624510,4.753240,4.505680,4.683920,2.576557,4988598
2000-05-18,4.505680,4.634410,4.475970,4.475970,2.462167,1625839
2000-05-19,4.456160,4.565090,4.357140,4.535380,2.494847,2312528
2000-05-22,4.466060,4.466060,4.297720,4.357140,2.396800,1383477
2000-05-23,4.357140,4.367040,4.109570,4.159090,2.287855,1555150
2000-05-24,3.961030,4.109570,3.961030,4.050160,2.227935,1131018
2000-05-25,4.050160,4.159090,3.961030,3.961030,2.178906,1252199
2000-05-26,3.951130,4.010540,3.871910,3.961030,2.178906,1161333
2000-05-29,3.970940,4.238310,3.961030,4.238310,2.331433,2605381
2000-05-30,4.238310,4.238310,4.238310,4.238310,2.331433,0
2000-05-31,4.446260,4.446260,4.208600,4.357140,2.396800,3352661
2000-06-01,4.159090,4.337330,4.129380,4.159090,2.287855,1565662
2000-06-02,4.228400,4.317530,4.218500,4.277920,2.353222,2100462
2000-06-05,4.287820,4.287820,4.168990,4.188790,2.304193,949247
2000-06-06,4.188790,4.188790,4.188790,4.188790,2.304193,0
2000-06-07,4.258110,4.475970,4.258110,4.475970,2.462167,4079744
2000-06-08,4.594800,4.693820,4.505680,4.644310,2.554768,7038568
2000-06-09,4.604700,4.604700,4.436360,4.456160,2.451269,2837644
2000-06-12,4.456160,4.456160,4.268010,4.317530,2.375011,2029774
2000-06-13,4.297720,4.376940,4.208600,4.357140,2.396800,2110571
2000-06-14,4.376940,4.456160,4.327430,4.436360,2.440378,3763624
2000-06-15,4.456160,4.574990,4.446260,4.515580,2.483955,5533910
2000-06-16,4.535380,4.703730,4.515580,4.545290,2.500299,7048676
2000-06-19,4.456160,4.466060,4.277920,4.317530,2.375011,2363020
2000-06-20,4.367040,4.367040,4.258110,4.327430,2.380457,1687025
2000-06-21,4.327430,4.396750,4.208600,4.238310,2.331433,1484461
2000-06-22,4.208600,4.307620,4.208600,4.307620,2.369560,2453905
2000-06-23,4.258110,4.307620,4.218500,4.287820,2.358669,1211825
2000-06-26,4.258110,4.258110,4.129380,4.139280,2.276959,1100723
2000-06-27,4.139280,4.218500,3.921420,3.961030,2.178906,1686429
2000-06-28,3.941230,3.951130,3.683760,3.753080,2.064515,1545052
2000-06-29,3.753080,3.802590,3.663960,3.663960,2.015492,868470
2000-06-30,3.713470,3.802590,3.683760,3.723370,2.048172,1121081
2000-07-03,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-04,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-05,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-06,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-07,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-10,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-11,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-12,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-13,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-14,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-17,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-18,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-19,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-20,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-21,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-24,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-25,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-26,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-27,3.723370,3.723370,3.723370,3.723370,2.048172,0
2000-07-28,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-07-31,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-01,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-02,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-03,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-04,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-07,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-08,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-09,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-10,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-11,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-14,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-15,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-16,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-17,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-18,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-21,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-22,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-23,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-24,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-25,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-28,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-29,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-30,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-08-31,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-01,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-04,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-05,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-06,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-07,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-08,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-11,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-12,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-13,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-14,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-15,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-18,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-19,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-20,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-21,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-22,3.716640,3.716640,3.716640,3.716640,2.044471,0
2000-09-25,3.716640,3.716640,3.716640,3.716640,2.044471,0
